content,rating,sistem,layanan,transaksi,pendaftaran subsidi,kebermanfaatan
"Susah didaftar,no nik 2 sd didaftar dan tidak berhasil, sia sia saja mendaftarkan no nik. Terkesan my pertamina tidak serius masalah daftar subsidi. No nikyg didaftarkan td tidak bisa di daftarkan ulang. Bintang 1 la buat my pertamina, sangat membingungkan.",5,0,0,0,-1,0
Sangat bagus tetapi terlalu ribet dalam hal pendaftaran dan di minta dari pihak SPBU tidak mau bantu daftarkan karena posisi HP sedang tidak ada paket 😭😭😭,5,0,0,0,-1,0
"Saya belum mencoba tapi semoga kedepannya bagus ya,demi kelancaran saya beri ranting tertinggi pokok nya",5,0,0,0,0,0
"walaupun sdh pakai aplikasi tetap tidak mempercepat pelayanan, malah antrian tambah panjang pelayanan tersita meregistrasi setiap pembelian Saran pasang kamera pencatat nomer kendaraan yg mau antri jadi pelayan tinggal buka teng langsung di cor",5,0,-1,0,0,0
"Baik sekali apk nya,,ada hal yg sedikit bermaslh tentang masa aktif barcode ataukah u selamnya",5,1,0,0,0,0
Knpa aplikasi nya sering terus keluar atau telah berhenti saja. Trus sekarang banyak gangguan server nya. Tolong di perbaiki maslah kendala2 sperti itu. Biar pelanggan puas & pembagian cashback nya ko gak ada yang pertamax. Terus kenapa susah daftar subsiditepat tidak ke tahap selanjutnya,5,-1,0,0,-1,0
Bagus cara mendaftar gampang bagi yg sudah tau. cuma untuk pendaftaran diaplikasi kadang bermasalah. Alternatif lain bisa diweb SUBSIDI TEPAT. Terkadang ada Hp yg tidak support dengan aplikasinya. Untuk Edit data Lebih bagus di aplikasi karena diweb sering bug. Web hanya (untuk daftar) 1. centang 2.pilih daftar sekarang. 3.isi data pendaftaran 4.disini ukuran foto tidak boleh dari 2 MB (harus di kompres). 5.untuk kode verifikasi akan dikirim melalui email.,5,1,0,0,1,0
gagal daftar mohon bantuannya,5,0,0,0,-1,0
"Daftar BBM subsidi nya kenapa yah ga bisa terus bacaannya blm terverifikasi aja, padahal dari Juli daftar nya",5,0,0,0,-1,0
"Saran , kalo bisa scan nya full display, untuk memudahkan pembacaan QR. Sepetti hal nya scan link aja bisa full display dan jauh lebih cepat. Terima kaaih",5,0,0,1,0,0
"Membantu kelancaran,tapi sayangnya kuota sering berkurang padahal 1 hari belum ngisi bbm",5,0,0,0,0,1
"Assalamualaikum,Wr.Wb.! Salam Toleransi Budaya Indonesia. Saya Nama: Rudi Hadi Saputera, Alamat: Dusun. Bubun Salle, Kelurahan. Buntu Sugi, Kecamatan. Alla, Kabupaten. Enrekang, Provinsi.Sulawesi Selatan,Indonesia. Apapun kelebiahan dan kekurangan MyPertamina, tetap hargai proses nya saling mendukung satu sama lain, dan saya sendiri sebagai pengguna baru, mohon tuntunannya dan arahannya untuk menggunakan aplikasi ini supaya bisa saling membutuhkan sehingga bermanfaat untuk kita semua. Wassalam.!",5,0,0,0,0,1
aplikasi telah memenuhi keinginan janu dan respon cepat,5,1,0,0,0,0
"Lebih praktis, asalkan jaringan internet cepat dan lancar",5,1,0,0,0,1
Mohon ditambahkan fitur pilih nomor kendaraan karena Kami yang ada diperusahaan juga butuh bukti cetak nopol di struk transaksi.,5,0,0,0,0,0
"Untuk aplikasi sih sudah mantap...hanya saja sayangnya tidak di gunakan dengan baik oleh para SPBU,bisa di katakan untuk sekarang SPBU masih lebih suka dengan uang tunai....itu bisa di lihat dari minimnya SPBU yg menerima pembayaran melalui my Pertamina,terutama untuk pengisian bbm roda dua,dengan alasan yg tidak jelas..sangat kalah sekali dengan pelayanan SPBU dari luar seperti sheel, ataupun Vivo mereka memudahkan cara pembayaran berbasis e money...mudah ""an kedepan makin baik...",5,1,0,0,0,0
"Aplikasinya bagus banget, daftarnya juga ga ribet",5,1,0,0,1,0
"Bagus. Tp menurutku ada yg kurang sempurna. Tombol ganti barcode lebih bagus lagi agak di sembunyikan, dan menggunakan ferivikasi dua kali. Sehingga tidak mudah terpencet. Dan berubah kodenya.",5,0,0,0,0,0
Sangat bagus dan praktis untuk alat pembayaran,5,0,0,1,0,1
Aplikasinya bagus. Cuman mungkin sedikit saran dan kritik. Diperbanyak lagi mesin untuk penggunaan my pertamina di spbu. Karena saya datang ke spbu 3417140 taruma kaliabang tengah dan spbu 3413421 terusan i gusti ngurah rai tidak bs mengisi bbm menggunakan aplikasi my pertamina dan hanya bisa cash. Alasannya mesinnya tidak ada. Coba di beri penyuluhan di kedua spbu tersebut terima kasih.,5,1,0,0,0,0
"Saya kasih bintang 5, tpi tolong kasih saya solusi. Saya ada permasalahan gini. Tempo hari ada kalo nggk salah 2 bulanan, di daftarkan my pertamina oleh salah satu karyawan SPBU, terus di suruh nunggu beberapa hari. Selang 1 bulan saya kembali ( ke SPBU tersebut), dan coba log in dengan NIK dan pasword yg sudah didaftarkan. Dan permasalahan nya ketika saya log in subsidi tepat, ada permintaan kode verivikasi dari email yg terdaftar, waktu di cek dari email yg terdaftar tidak ada kode veri masuk",5,0,0,0,-1,0
